"amostra";"largura";"altura";"temperatura"
"Amostra 51";19.75;112.48;-9.26
"Amostra 52";118.17;123.51;-13.47
"Amostra 53";70.07;168.49;-11.32
"Amostra 54";60.67;32.32;4.54
"Amostra 55";50.57;64.09;-3.25
"Amostra 56";82.08;187.71;6.61
"Amostra 57";23.61;40.24;8.2
"Amostra 58";76.97;146.55;-1.59
"Amostra 59";72;100.89;-16.26
"Amostra 60";128;66.43;-6.96
"Amostra 61";99.37;32.88;-17.84
"Amostra 62";90.61;17.92;-2.51
"Amostra 63";131.82;70.99;-4.32
"Amostra 64";193.45;83.5;13.43
"Amostra 65";67.81;32.42;-13.27
"Amostra 66";40.25;130.47;-6.12
"Amostra 67";18.55;188.63;-8.71
"Amostra 68";39.98;123;-3.93
"Amostra 69";164.4;96.08;-5.75
"Amostra 70";6.21;49.28;0.03
"Amostra 71";31.64;65.4;7.08
"Amostra 72";14.57;181.59;-20.26
"Amostra 73";70.36;170.93;-4.42
"Amostra 74";19.17;63.93;11.48
"Amostra 75";122.79;183.73;3.12
"Amostra 76";6.59;91.23;16.1
"Amostra 77";78.59;50.49;11.91
"Amostra 78";294.32;54.64;15.9
"Amostra 79";62.77;49.94;11.44
"Amostra 80";55.32;79.59;20.99
"Amostra 81";148.96;2.09;9.99
"Amostra 82";88.76;46.75;2.86
"Amostra 83";32.84;115.19;-4.23
"Amostra 84";128.33;64.61;4.59
"Amostra 85";1.44;45.52;18.95
"Amostra 86";100.53;98.6;11.41
"Amostra 87";40.31;47.82;-8.19
"Amostra 88";143.25;17.63;3.22
"Amostra 89";13.73;69.98;-2.09
"Amostra 90";134.15;50.81;6.39
"Amostra 91";48.7;69.25;20.56
"Amostra 92";90;61.16;-18.93
"Amostra 93";32.05;175.37;-9.12
"Amostra 94";31.47;49.43;-8.52
"Amostra 95";104.08;206.43;5.32
"Amostra 96";38.54;121.23;14.3
"Amostra 97";79.76;32.58;-10.52
"Amostra 98";55.37;77.03;-0.03
"Amostra 99";17.73;223.83;5.42
"Amostra 100";4.3;109.33;-4.95
"Amostra 101";94.74;194.98;-7.92
"Amostra 102";181.67;105.26;-14.68
"Amostra 103";198.56;57.74;-3.71
"Amostra 104";81.68;46.52;-5.05
"Amostra 105";99.96;53.53;-11.7
"Amostra 106";56.11;99.84;-10.34
"Amostra 107";78.01;57.06;-0.86
"Amostra 108";67.83;96.16;3.6
"Amostra 109";105.24;180.79;-15.01
"Amostra 110";70.42;66.74;12.4
"Amostra 111";95.06;47.29;25.95
"Amostra 112";18.67;194.61;-3.83
"Amostra 113";123.19;182.09;3.39
"Amostra 114";135.78;114.02;10.73
"Amostra 115";31.08;3.14;-0.13
"Amostra 116";107.22;47.79;7.93
"Amostra 117";168.8;113.14;-5.95
"Amostra 118";44.93;48.92;0.7
"Amostra 119";21.78;123.49;7.69
"Amostra 120";205.01;137.64;8.24
"Amostra 121";77.37;57.56;7.41
"Amostra 122";123.35;83.31;8.82
"Amostra 123";63.79;57.47;-3.14
"Amostra 124";102.74;78.95;-0.01
"Amostra 125";22.18;1.76;14.11
"Amostra 126";114.23;178.21;-17.27
"Amostra 127";25.89;34.71;5.77
"Amostra 128";49.76;108.8;0.43
"Amostra 129";37.21;13.69;-2.99
"Amostra 130";114.35;49.44;2.77
"Amostra 131";68.3;8.41;5.56
"Amostra 132";77.32;93.07;4.75
"Amostra 133";52.52;205.51;-3.3
"Amostra 134";112.17;69.24;-10.47
"Amostra 135";49.95;133.14;-7.12
"Amostra 136";35.1;72.01;7.54
"Amostra 137";18.02;76.75;2.48
"Amostra 138";314.88;42.37;3.8
"Amostra 139";135.66;71.01;1.68
"Amostra 140";103.42;97.86;9.69
"Amostra 141";257.89;42.17;-4.68
"Amostra 142";122;126.61;-4.81
"Amostra 143";59.39;12.83;2.42
"Amostra 144";148;60.52;4.57
"Amostra 145";59.46;58.33;-19.42
"Amostra 146";100.77;21;-19.85
"Amostra 147";65.15;50.29;-9.53
"Amostra 148";151.22;15.08;21.87
"Amostra 149";11.25;187.31;13.02
"Amostra 150";15.51;51.71;-6.39
"Amostra 151";147.07;63.26;17.8
"Amostra 152";186.55;6.42;-3.54
"Amostra 153";12.98;28.93;-15.36
"Amostra 154";1.22;26.63;-6.52
"Amostra 155";170.79;120.33;-10.13
"Amostra 156";52.11;14.79;5.75
"Amostra 157";94.82;81.46;8.65
"Amostra 158";147.56;122.23;13.9
"Amostra 159";71.73;14.74;-2.91
"Amostra 160";97.76;10.23;-3.38
"Amostra 161";19.62;42.93;-33.45
"Amostra 162";119.61;40.37;-5.26
"Amostra 163";49.5;171.77;5.43
"Amostra 164";219.18;68.83;6.42
"Amostra 165";124.05;102.12;4.26
"Amostra 166";62.45;71.86;3.93
"Amostra 167";149.9;49.52;-16.77
"Amostra 168";134.53;34.94;7.31
"Amostra 169";67.45;0.82;4.95
"Amostra 170";65.78;87.65;2.61
"Amostra 171";34.88;95.05;-11.82
"Amostra 172";16.54;57.31;19.3
"Amostra 173";132.79;9.25;0.94
"Amostra 174";22.66;192.86;-1.28
"Amostra 175";39.53;5.17;16.56
"Amostra 176";67.27;2.98;-13.36
"Amostra 177";36.69;123.74;-13.31
"Amostra 178";278.48;101.85;0.27
"Amostra 179";153.21;152.24;4.12
"Amostra 180";20.32;35.27;4.23
"Amostra 181";8.57;20.15;13.97
"Amostra 182";261.92;12.52;3.84
"Amostra 183";136;73.46;3.38
"Amostra 184";90.4;64.05;-15.99
"Amostra 185";24.55;15.35;-30.73
"Amostra 186";120.97;133.77;8.9
"Amostra 187";14.9;187.44;-27.73
"Amostra 188";28.21;18.76;9.23
"Amostra 189";74.21;80.24;17.5
"Amostra 190";51.14;41.37;12.09
"Amostra 191";95.66;33.99;7.97
"Amostra 192";218.05;71.46;-8.5
"Amostra 193";194.26;68.13;0.81
"Amostra 194";81.29;98.68;-1.05
"Amostra 195";97.49;32.72;0.15
"Amostra 196";81.12;99.56;0.78
"Amostra 197";78.4;77.68;4.86
"Amostra 198";108.71;59.32;4.35
"Amostra 199";16.63;31.18;-0.91
"Amostra 200";59.69;153.37;0.16
"Amostra 201";202.11;27.15;8.2
"Amostra 202";129.19;137.28;-1.8
"Amostra 203";26.08;36.65;3.77
"Amostra 204";133.89;105.71;3.2
"Amostra 205";57.19;23.11;13.18
"Amostra 206";8.49;110.48;-10.46
"Amostra 207";198.85;79.15;-4.21
"Amostra 208";147.33;53.68;-1.12
"Amostra 209";123.43;83.1;-7.42
"Amostra 210";21.64;186.35;-1.71
"Amostra 211";28.91;120.84;-15.11
"Amostra 212";54.9;127.99;-2.89
"Amostra 213";50.66;105.7;-1.03
"Amostra 214";58.1;151.8;12.43
"Amostra 215";75.46;66.02;-0.58
"Amostra 216";73.12;22.54;-17.56
"Amostra 217";25.97;6.3;12
"Amostra 218";72.14;89.46;0.39
"Amostra 219";66.99;23.76;12.69
"Amostra 220";64.44;223.29;-12.06
"Amostra 221";125.43;131.9;1.7
"Amostra 222";21.78;40.88;15.58
"Amostra 223";105.08;85.18;0.37
"Amostra 224";152.98;137.75;11.95
"Amostra 225";105.53;7.31;-9.74
"Amostra 226";6.35;10.59;30.3
"Amostra 227";150.88;30.11;-18.75
"Amostra 228";17.87;138.8;-9.39
"Amostra 229";1.36;74.16;5.86
"Amostra 230";11.91;114.31;-5.92
"Amostra 231";23.75;129.1;5.99
"Amostra 232";26.61;68.25;-9.86
"Amostra 233";76.97;41.45;7.58
"Amostra 234";84.56;76.18;-5.38
"Amostra 235";45.64;1.3;-7.5
"Amostra 236";14.94;57.99;9.34
"Amostra 237";160.99;77.1;18.93
"Amostra 238";12.18;28.75;-12.08
"Amostra 239";114.42;2.11;-0.96
"Amostra 240";74.5;41.42;-22.53
"Amostra 241";65.05;7.86;-1.71
"Amostra 242";164.69;46.36;3.7
"Amostra 243";108.67;65.1;20.13
"Amostra 244";60.82;34.66;-5.38
"Amostra 245";26.86;19.62;18.34
"Amostra 246";18.95;40.44;22.85
"Amostra 247";56;112.2;5.02
"Amostra 248";65.29;3.88;-8.51
"Amostra 249";136.28;77.86;0.06
"Amostra 250";96.69;120.23;-15.64
"Amostra 251";47.71;65.83;-6.88
"Amostra 252";28.06;57.53;-7.9
"Amostra 253";1.21;39.04;8.31
"Amostra 254";52.99;5.43;6.01
"Amostra 255";87.59;4.74;-14.31
"Amostra 256";80.48;92.72;25.7
"Amostra 257";170.36;77.06;18.53
"Amostra 258";140.86;50.73;-9.91
"Amostra 259";49.07;37.31;-15.19
"Amostra 260";26.62;146.4;17.33
"Amostra 261";182.21;49.18;-12.02
"Amostra 262";152.88;107.24;8.98
"Amostra 263";27.11;119.19;-1.85
"Amostra 264";39.06;117.85;-4.63
"Amostra 265";70.68;160.68;-4.64
"Amostra 266";143.42;133.45;-1.19
"Amostra 267";37.91;75.41;-7.33
"Amostra 268";100.89;69.84;4.1
"Amostra 269";64.57;120.75;12.8
"Amostra 270";45.36;156.6;2.15
"Amostra 271";21.85;100.01;-12.32
"Amostra 272";239.91;44.79;12.2
"Amostra 273";122.54;149.44;-0.41
"Amostra 274";5.23;5.79;1.86
"Amostra 275";189.28;2.38;-13.78
"Amostra 276";50.67;32.26;7
"Amostra 277";13.75;53.03;-12.42
"Amostra 278";71.38;8.4;-2.05
"Amostra 279";181.8;38.53;0.28
"Amostra 280";16.03;37.5;16.29
"Amostra 281";150.45;39.26;-4.24
"Amostra 282";92.37;7.29;-0.96
"Amostra 283";18.58;110.73;-6.92
"Amostra 284";46.89;250.72;3.19
"Amostra 285";253.87;52.6;2.69
"Amostra 286";8.55;29.09;-0.06
"Amostra 287";87.18;0.06;-5.04
"Amostra 288";119.03;83.05;-2.63
"Amostra 289";101.24;192.99;-8.52
"Amostra 290";41.76;70.94;-2.53
"Amostra 291";51.41;72.85;-5.64
"Amostra 292";69.06;40.77;-2.67
"Amostra 293";129.07;57.32;-6.05
"Amostra 294";152.77;88.4;9.87
"Amostra 295";62.74;171.35;9.58
"Amostra 296";127.49;184.29;-2.55
"Amostra 297";1.76;155.87;-11.94
"Amostra 298";129.12;6.04;11.01
"Amostra 299";165.5;127.57;-5.26
"Amostra 300";64.61;126.74;32.49
"Amostra 301";43.15;7.3;2.5
"Amostra 302";1.89;17.4;-6.84
"Amostra 303";35.27;281.97;-13.3
"Amostra 304";52.77;91.56;2.18
"Amostra 305";184.32;7.12;-20.67
"Amostra 306";8.16;37.69;2.8
"Amostra 307";30.52;109.01;8.95
"Amostra 308";142.21;237.93;-5.56
"Amostra 309";9.45;100.5;-14.95
"Amostra 310";139.99;52.27;-3.9
"Amostra 311";65.05;34.71;-11.2
"Amostra 312";155.2;91.85;5.41
"Amostra 313";38.53;88.81;-7.99
"Amostra 314";96.65;0.85;11.48
"Amostra 315";78.53;138.19;21.79
"Amostra 316";106.81;62.2;10.66
"Amostra 317";134.81;176.13;14.3
"Amostra 318";53.02;78.32;-8.05
"Amostra 319";158.92;12.77;-3.08
"Amostra 320";124.49;34.39;-1.15
"Amostra 321";168.25;191.66;-8.28
"Amostra 322";16.89;75.86;-11.12
"Amostra 323";35.56;30.45;-16.79
"Amostra 324";83.85;104.03;29.89
"Amostra 325";163.95;86.26;-3.16
"Amostra 326";24.58;80.98;-7.95
"Amostra 327";83.29;12.51;0.1
"Amostra 328";63.43;37.69;3.81
"Amostra 329";40.59;8.41;-11.44
"Amostra 330";65.12;50.72;5.8
"Amostra 331";91.94;7.83;-11.11
"Amostra 332";163.4;8.06;-5.12
"Amostra 333";8.63;28.28;1.04
"Amostra 334";102.13;5.51;-2.2
"Amostra 335";72.18;142.71;7.9
"Amostra 336";0.62;12.35;-1.29
"Amostra 337";101.5;31.86;1.3
"Amostra 338";257.2;6.23;13.87
"Amostra 339";104.15;51.53;3.47
"Amostra 340";23.29;73.72;8.19
"Amostra 341";70.94;56.39;-18.49
"Amostra 342";97.37;10.85;-1.41
"Amostra 343";138.53;46.42;12.64
"Amostra 344";54.22;43.26;-6.94
"Amostra 345";70.67;184.86;3.82
"Amostra 346";59.83;83.54;-23.63
"Amostra 347";55.74;197.55;-2.19
"Amostra 348";110.01;23.24;0.08
"Amostra 349";57.68;106.84;2.51
"Amostra 350";8.93;184.91;-2.81
"Amostra 351";25.27;62.9;6.11
"Amostra 352";9.09;44.77;0.26
"Amostra 353";16.26;70.27;0.81
"Amostra 354";130.05;11.81;2.95
"Amostra 355";19.46;156.99;-7.21
"Amostra 356";93.23;127.33;-2.78
"Amostra 357";16.53;39.33;-15.71
"Amostra 358";241.34;58.39;4.94
"Amostra 359";35.25;68.1;-16.08
"Amostra 360";89.29;26.09;8.42
"Amostra 361";75.52;63.09;17.83
"Amostra 362";71.88;59.95;-0.43
"Amostra 363";91.69;16.25;-2.48
"Amostra 364";24.69;62.81;-7.37
"Amostra 365";37.08;16.97;-6.07
"Amostra 366";19.96;62.58;6.72
"Amostra 367";160.72;103.24;5.04
"Amostra 368";212.52;185.01;6.63
"Amostra 369";129.45;27.67;3.92
"Amostra 370";52.36;24.04;-2.4
"Amostra 371";18.1;117.76;7.86
"Amostra 372";72.64;47.23;-0.26
"Amostra 373";43.24;73.17;-3.35
"Amostra 374";46.96;145.19;1.53
"Amostra 375";33.52;5.07;-3.37
"Amostra 376";48.25;72.09;0.69
"Amostra 377";67.79;18.97;-5.65
"Amostra 378";161.79;123.72;-2.02
"Amostra 379";56.93;128.49;-8.31
"Amostra 380";170.65;10.71;6.8
"Amostra 381";32.44;132.08;22.76
"Amostra 382";93.67;14.57;-4.64
"Amostra 383";7.87;5.55;-18
"Amostra 384";122.71;260.96;-3.93
"Amostra 385";208.98;24.34;-6.08
"Amostra 386";42.8;24.97;8.77
"Amostra 387";34.25;66.61;-4.32
"Amostra 388";60.24;54.38;3.67
"Amostra 389";38.46;8.57;0.57
"Amostra 390";193.38;67.41;-19.36
"Amostra 391";1.99;147.18;-5.55
"Amostra 392";1.76;7.08;-1.4
"Amostra 393";206.53;90.62;9.65
"Amostra 394";68.78;1.89;5.81
"Amostra 395";103.21;34.91;3.9
"Amostra 396";85.46;32.95;2.78
"Amostra 397";120.91;45.18;5.01
"Amostra 398";145.17;94.39;-6.21
"Amostra 399";34.98;75.1;4.97
"Amostra 400";168.7;120.94;21.99
"Amostra 401";60.2;30.33;-15.34
"Amostra 402";92.69;2.53;11.66
"Amostra 403";62.88;175.59;-7.81
"Amostra 404";139.01;83.23;5.05
"Amostra 405";35.02;161.66;-4.69
"Amostra 406";84.41;72.11;-5.38
"Amostra 407";79.75;51.13;-7.95
"Amostra 408";87.76;183.22;0.84
"Amostra 409";96.79;33.12;-15.8
"Amostra 410";17.54;66.22;-2.84
"Amostra 411";47.76;78.67;-6.18
"Amostra 412";38.38;22.66;-3.25
"Amostra 413";32.08;6.39;-4.78
"Amostra 414";100.79;69.76;-11.27
"Amostra 415";27.14;21.16;2.47
"Amostra 416";88.28;28.73;2.56
"Amostra 417";98.62;326.72;6.93
"Amostra 418";195.78;9;1.13
"Amostra 419";150.38;101.42;-9.03
"Amostra 420";21.34;54.6;18.37
"Amostra 421";13.93;69.94;-0.34
"Amostra 422";52.99;94.23;1.24
"Amostra 423";50.77;28.92;0.62
"Amostra 424";83.45;74.8;-1.05
"Amostra 425";85.06;60.39;-17
"Amostra 426";79.99;20.84;6.59
"Amostra 427";65.16;84.23;-24.22
"Amostra 428";26.39;19.15;1.92
"Amostra 429";10.69;102.18;8.28
"Amostra 430";132.59;12.26;-3.22
"Amostra 431";59.8;50.33;-10.34
"Amostra 432";22.99;8.31;-14.42
"Amostra 433";25.15;54.57;5.06
"Amostra 434";7.59;91.51;5.92
"Amostra 435";75.54;5.49;11.85
"Amostra 436";76.07;104.06;1.9
"Amostra 437";31.69;11.61;9.82
"Amostra 438";171.1;130.56;4.4
"Amostra 439";72.28;0.53;2.37
"Amostra 440";3.3;22.35;7.96
"Amostra 441";45.61;15.88;-3.66
"Amostra 442";49.41;52.95;-0.12
"Amostra 443";103.28;18.23;7.51
"Amostra 444";51.72;173.76;-5.66
"Amostra 445";3.97;55.37;7.19
"Amostra 446";17.95;98.86;6.78
"Amostra 447";15.55;125.47;-2.24
"Amostra 448";118.03;34.98;10.82
"Amostra 449";130.49;72.14;-0.54
"Amostra 450";88.12;108.05;3.1
"Amostra 451";130.7;184.56;2.38
"Amostra 452";97.37;101.53;-10.26
"Amostra 453";82.62;19.7;-1.27
"Amostra 454";9.71;134.77;-8.77
"Amostra 455";34.2;59.4;-12.23
"Amostra 456";58.46;79.53;-9.62
"Amostra 457";161.76;29.96;0.34
"Amostra 458";195.93;111.61;8.88
"Amostra 459";37;34.6;16.38
"Amostra 460";73.5;9.86;7.91
"Amostra 461";27.5;40.05;6.25
"Amostra 462";168.24;140.49;-10.06
"Amostra 463";57.45;89.64;-1.47
"Amostra 464";40.87;138.98;-1.98
"Amostra 465";25.52;65.26;7.33
"Amostra 466";93.81;138.11;-1.85
"Amostra 467";117.42;73.98;1.6
"Amostra 468";98.73;82.39;-5.18
"Amostra 469";96.76;18.49;12.07
"Amostra 470";57.14;33.65;-18.17
"Amostra 471";152.35;50.28;0.89
"Amostra 472";110.01;193.82;2.4
"Amostra 473";4.95;42.74;-4.71
"Amostra 474";175.16;55.64;4.13
"Amostra 475";32.62;17.6;2.11
"Amostra 476";122.74;26.15;2.05
"Amostra 477";90.17;63.53;23.9
"Amostra 478";27.97;144.61;-15.19
"Amostra 479";0.16;93.24;12.85
"Amostra 480";45.05;31.91;8.84
"Amostra 481";37.66;38.91;4.84
"Amostra 482";42.66;16.76;-2.93
"Amostra 483";39.53;7.58;-5.02
"Amostra 484";68.58;13.27;5.01
"Amostra 485";164.55;50.17;0.97
"Amostra 486";101.37;30.96;-2.6
"Amostra 487";63.69;27.84;13.8
"Amostra 488";93.37;43.07;3.21
"Amostra 489";14.41;84.52;3.42
"Amostra 490";124.47;10.73;-1.38
"Amostra 491";138.5;31.44;12.87
"Amostra 492";75.96;290.45;1.19
"Amostra 493";18.46;65.17;-13.11
"Amostra 494";1.19;81.2;-7.68
"Amostra 495";18.24;7.59;-0.31
"Amostra 496";99.7;18.43;21.04
"Amostra 497";107.45;23.35;5.58
"Amostra 498";14.92;48.12;0.42
"Amostra 499";229.34;19.36;14.74
"Amostra 500";189;31.47;1.92
"Amostra 501";98.62;50.01;7.04
"Amostra 502";17.51;199.45;7.42
"Amostra 503";58.65;97.08;-1.9
"Amostra 504";177.18;107.31;22.74
"Amostra 505";5.43;62.56;-9.34
"Amostra 506";199.4;32;-0.85
"Amostra 507";3.61;62.8;0.7
"Amostra 508";99.59;203.35;-1.89
"Amostra 509";63.02;12.04;0
"Amostra 510";70.47;9.94;17.45
"Amostra 511";85.87;93.6;16.42
"Amostra 512";41.76;44.72;-3.39
"Amostra 513";49.87;28.35;-4.07
"Amostra 514";20.81;106.4;-6.43
"Amostra 515";3.32;73.51;5.72
"Amostra 516";78.25;85.71;-1.23
"Amostra 517";14.36;61.17;-3.94
"Amostra 518";16.82;123.57;-23.54
"Amostra 519";92.49;87.46;21.85
"Amostra 520";147.89;10.98;3.25
"Amostra 521";72.18;40.26;4.53
"Amostra 522";206.42;31.9;-1.59
"Amostra 523";3.57;16.03;10.54
"Amostra 524";9.41;87.08;-6.19
"Amostra 525";39.95;170.94;8.58
"Amostra 526";74.12;94.16;12.29
"Amostra 527";60.05;89.48;19.39
"Amostra 528";126.18;41.29;-8.72
"Amostra 529";66.94;83.14;-3.44
"Amostra 530";27.79;209.19;11.66
"Amostra 531";44.17;81.46;16.64
"Amostra 532";146.11;55.83;-12
"Amostra 533";95.71;93.11;-16.51
"Amostra 534";102.95;78.53;-5.11
"Amostra 535";26.54;137.54;6.67
"Amostra 536";5.16;182.16;13.16
"Amostra 537";20.91;49.26;-2.64
"Amostra 538";195.21;127.86;-5.45
"Amostra 539";8.13;46.34;-5.34
"Amostra 540";100.92;19.41;-16.54
"Amostra 541";56.22;5.38;-6.64
"Amostra 542";150.9;152.67;-3.86
"Amostra 543";55.24;68.23;20.2
"Amostra 544";69.55;238.04;-5.95
"Amostra 545";133.95;27.28;-9.97
"Amostra 546";148.18;59.27;1.26
"Amostra 547";5.51;21.66;-8.41
"Amostra 548";252.55;77.48;-9.51
"Amostra 549";66.46;73.9;-5.68
"Amostra 550";55.63;117.8;10.17
"Amostra 551";114.43;39.09;-3.97
"Amostra 552";120.19;23.41;-19.21
"Amostra 553";187.95;40.86;-8.55
"Amostra 554";111.01;53.25;-3.45
"Amostra 555";48.99;52.76;0.1
"Amostra 556";5.64;111.67;-9.94
"Amostra 557";29.51;47.52;-4.22
"Amostra 558";72.78;71.94;-0.61
"Amostra 559";37.21;65.68;19.13
"Amostra 560";115.93;21.15;-11.47
"Amostra 561";107.22;99.41;1.07
"Amostra 562";18.6;37.04;1.13
"Amostra 563";203.83;100.23;-7.92
"Amostra 564";72.2;194.91;6.55
"Amostra 565";34.49;58.39;-11.34
"Amostra 566";70.07;189.53;20.58
"Amostra 567";102.36;92.57;17.98
"Amostra 568";165.19;57.85;1.15
"Amostra 569";44.55;115.6;-12.03
"Amostra 570";103.46;152.95;-13.09
"Amostra 571";103.04;10.74;0.52
"Amostra 572";126.55;102.72;8.07
"Amostra 573";90.1;42.97;-4.29
"Amostra 574";166.17;54.92;-15.66
"Amostra 575";102.92;83.75;-11.47
"Amostra 576";12.69;2.35;6.72
"Amostra 577";34.39;62.89;-22.08
"Amostra 578";219.84;101.12;14.58
"Amostra 579";124.63;161.82;22.03
"Amostra 580";123.03;3.46;6.85
"Amostra 581";138.17;121.56;15.88
"Amostra 582";54.97;136.26;-1.2
"Amostra 583";14.99;15.39;8.78
"Amostra 584";90.48;96.04;-16.8
"Amostra 585";11.31;73.33;5.34
"Amostra 586";75.8;64.68;2
"Amostra 587";215.66;28.43;-11.27
"Amostra 588";62.78;6.69;-20.77
"Amostra 589";6.33;35.38;9.39
"Amostra 590";84.75;193.59;-13.86
"Amostra 591";14.14;264.7;-1.2
"Amostra 592";72.79;134.46;-6.7
"Amostra 593";24.79;55.79;3.5
"Amostra 594";60.69;24.17;1.88
"Amostra 595";71.45;14.86;6.72
"Amostra 596";32.01;94.68;-13.16
"Amostra 597";0.46;38.31;-6.09
"Amostra 598";87.39;43.98;17.8
"Amostra 599";71.66;180.01;3
"Amostra 600";44.66;83.04;-8.98
"Amostra 601";21.27;128.64;-5.83
"Amostra 602";99.03;86.47;0.12
"Amostra 603";74.66;105.23;-9.36
"Amostra 604";21.2;180.84;1.61
"Amostra 605";10.61;56.71;-4.62
"Amostra 606";9.78;175.58;-15.06
"Amostra 607";63.56;48.17;7.72
"Amostra 608";196.98;114.02;5.91
"Amostra 609";104.87;39.13;-8.77
"Amostra 610";175.95;67.68;2.49
"Amostra 611";22.49;120.59;3.96
"Amostra 612";5.67;55.43;12.2
"Amostra 613";67.66;254.86;-2.4
"Amostra 614";16.76;8;3.66
"Amostra 615";63.19;95.98;-12.93
"Amostra 616";49.46;20.88;-9.79
"Amostra 617";91.38;7.55;-16.02
"Amostra 618";54.38;198.64;-13.78
"Amostra 619";57.82;22.03;-3.59
"Amostra 620";91.1;56.31;17.76
"Amostra 621";71.34;118.19;10.57
"Amostra 622";113.5;186.57;9.47
"Amostra 623";38.43;22.03;17.52
"Amostra 624";102.09;110.68;6.26
"Amostra 625";12.68;21.71;14.08
"Amostra 626";3.48;57.78;7.23
"Amostra 627";108.67;6.83;7.77
"Amostra 628";116.98;215.85;-4.46
"Amostra 629";108.87;21.1;4.53
"Amostra 630";147.2;50.01;2.37
"Amostra 631";67.37;33.17;-4.45
"Amostra 632";96.89;44.12;-9.78
"Amostra 633";43.88;97.37;8.73
"Amostra 634";29.35;175.66;-3.92
"Amostra 635";165.36;16.35;10.04
"Amostra 636";134.19;1.56;7.41
"Amostra 637";21.66;82.31;-2.91
"Amostra 638";88.69;71.73;21.49
"Amostra 639";171.07;46.27;10.33
"Amostra 640";146.7;88.05;-6.76
"Amostra 641";94.35;230;-9.48
"Amostra 642";76.11;6.47;15.04
"Amostra 643";60.34;91.36;9.17
"Amostra 644";74.98;157.93;2
"Amostra 645";168.23;86.48;18.98
"Amostra 646";100.89;78.05;-3.79
"Amostra 647";80.53;11.81;-15.03
"Amostra 648";76.32;18.43;-10.89
"Amostra 649";0.96;5.12;17.28
"Amostra 650";35.29;96.57;8.59
"Amostra 651";313.49;22.27;-8.87
"Amostra 652";147.52;127.64;-0.67
"Amostra 653";175.93;110.7;4.04
"Amostra 654";38.13;33.53;-8.18
"Amostra 655";16.54;4.02;-5.92
"Amostra 656";39.85;57.95;-0.02
"Amostra 657";31.93;109.31;-8.4
"Amostra 658";59.62;144.71;11.4
"Amostra 659";69;56.96;-3.31
"Amostra 660";118.52;46.61;-9.27
"Amostra 661";18.53;38.34;-13.04
"Amostra 662";108.62;67.88;-23.35
"Amostra 663";85.9;85.69;6.35
"Amostra 664";36.18;210.7;-6.5
"Amostra 665";54.59;176.66;-8.75
"Amostra 666";78.19;93.7;-14.43
"Amostra 667";274.49;68.32;-1.88
"Amostra 668";97.01;113.67;15.1
"Amostra 669";39.75;143.45;-8.99
"Amostra 670";158.08;4.2;-14.19
"Amostra 671";73;214.09;7.47
"Amostra 672";73.56;63.66;1.39
"Amostra 673";135.95;17.23;-14.5
"Amostra 674";88.3;9.91;-13.39
"Amostra 675";82.54;129.39;-7.67
"Amostra 676";9.37;137.57;-7.71
"Amostra 677";40.96;44.09;2.89
"Amostra 678";150.61;149.18;0.15
"Amostra 679";46.37;58.45;-1.68
"Amostra 680";62.9;111.71;-4.78
"Amostra 681";65.4;57.26;-1.56
"Amostra 682";8.41;158.27;8.44
"Amostra 683";13.27;110.09;4.41
